name, url
'AdGuard', 'https://adguard.com/'
'Airbnb', 'https://www.airbnb.com'
'Amazon', 'https://www.amazon.com'
'Apollo GraphQL', 'https://www.apollographql.com'
'Apple', 'https://www.apple.com'
'Aquent', 'https://aquent.com'
'Astronomer', 'https://www.astronomer.io'
'audius', 'https://www.audius.de/'
'Axia', 'https://www.axia.com'
'Beyondsoft', 'https://www.beyondsoft.com'
'Blender', 'https://www.blender.org'
'Cal.com', 'https://cal.com'
'ClickHouse', 'https://clickhouse.com'
'cmpct', 'https://cmpct.info'
'DataRobot', 'https://www.datarobot.com'
'EngFlow', 'https://www.engflow.com/'
'Ergo Reiseversicherung', 'https://www.reiseversicherung.de/'
'Github', 'https://github.com'
'Gitlab', 'https://about.gitlab.com'
'Godot Engine', 'https://godotengine.org'
'Google', 'https://www.google.com'
'Grafana Labs', 'https://grafana.com'
'Higrys', 'https://potiuk.com'
'Home Assistant', 'https://www.home-assistant.io'
'Intel', 'https://www.intel.com/'
'Interos', 'https://www.interos.ai'
'Linaro', 'https://www.linaro.org'
'Linux Foundation', 'https://www.linuxfoundation.org'
'Loway', 'https://www.loway.ch'
'Mandolin', 'http://mandolin.com'
'Medallia', 'https://www.medallia.com/'
'Meetup', 'https://www.meetup.com'
'Meta', 'https://about.facebook.com/meta/'
'Microsoft', 'https://www.microsoft.com'
'Monosi', 'https://www.monosi.dev'
'Moritz Systems', 'https://www.moritz.systems'
'One Programming Language', 'https://www.upwork.com/ag/onelang/'
'OpenBB', 'https://www.openbb.co'
'OSS Capital', 'https://oss.capital'
'Peralex Electronics', 'https://www.peralex.com'
'Planetscale', 'https://planetscale.com'
'Ploomber', 'https://ploomber.io'
'Prefect', 'https://www.prefect.io'
'Preset', 'https://preset.io'
'RedHat', 'https://www.redhat.com'
'Remix Software', 'https://remix.run'
'Semrush', 'https://www.semrush.com'
'SixOctets Systems', 'https://www.sixoctets.com'
'Snowflake', 'https://www.snowflake.com'
'Teslabs Engineering ', 'https://teslabs.com'
'UBS', 'https://www.ubs.com/'
'Upstart', 'https://www.upstart.com'
'Verstand AI', 'https://www.verstand.ai'
'Winkwaves', 'https://winkwaves.com'
'Wix', 'https://www.wix.com/'
'Yandex', 'https://yandex.com'
'ZenML', 'https://zenml.io'
